Cruise	Station	Type	mm/dd/yy	Lon[E]	Lat[N]	BotDep[m]	Depth[m]	Temperature[C]	Salinity	QF	Bottle	QF	Cast	Pressure[dbar]	Oxygen[umol/kg]	QF	Nitrate[umol/kg]	QF	Nitrite[umol/kg]	QF	Silicate[umol/kg]	QF	Phosphate[umol/kg]	QF	CFC-11[pmol/kg]	QF	CFC-12[pmol/kg]	QF	TCO2[umol/kg]	QF	Alk[umol/kg]	QF	theta	sigma0	sigma1	sigma2	sigma3	sigma4	AOU[umol/kg]	QF	pf11[uatm]	f11age[yrs]	pf12[uatm]	f12age[yrs]	region	tco2p[umol/kg]	tco2pe[umol/kg]	tco2ex[umol/kg]	QF	dcstar[umol/kg]	QF	cstar[umol/kg]	QF	nstar[umol/kg]	QF	dcstar12[umol/kg]	QF	diseq[umol/kg]	anthco2[umol/kg]	QF	alkn[umol/kg]	QF	tco2n[umol/kg]	QF	preco2[umol/kg]	omegaca	omegaar	postar[umol/kg]	QF	tarat	QF
I8SI9S	4	B	12/5/94	94.994	-30.3	1945	10	21.1028	35.9408	0	36	0	1	9.8	224.641	0	0.117181	0	0	0	1.01557	0	0.116205	0	2.229	0	1.255	0	2039.16	0		9	21.1009	25.1841	29.4335	33.5898	37.6559	41.6346	-5.36063	0	268.483	0.428767	541.331	0	4			15.5152	0		9		9	1.0303	0		9			9		9	1985.78	0				-0.550132	0		9
I8SI9S	4	B	12/5/94	94.994	-30.3	1945	54	19.8913	35.9437	0	35	0	1	54.7	233.185	0	0.146476	0	0	0	1.0351	0	0.137688	0	2.431	0	1.3	0	2047.46	0		9	19.8812	25.5145	29.7824	33.9566	38.04	42.0355	-9.03391	0	276.935	0.428767	533.787	0	4				4		9		9	0.75148	0		9			9		9	1993.7	0				-0.479826	0		9
I8SI9S	4	B	12/5/94	94.994	-30.3	1945	79	19.0138	35.9186	0	34	0	1	79.5	237.026	0	0.16601	0	0	0	1.04488	0	0.130855	0	2.516	0	1.366	0	2047.15	0		9	18.9996	25.7248	30.0066	34.1944	38.291	42.2991	-9.17994	0	275.026	0.428767	540.787	0	4				4		9		9	0.865747	0		9			9		9	1994.8	0				-0.464713	0		9
I8SI9S	4	B	12/5/94	94.994	-30.3	1945	104	18.0026	35.8627	0	33	0	1	104.6	233.766	0	0.185548	0	0	0	1.06446	0	0.166016	0	2.65	0	1.357	0	2057.28	0	2353.13	0	17.9846	25.9379	30.2366	34.4406	38.5529	42.5763	-1.47666	0	275.944	0.428767	514.644	0	4	2065.6	1.24303	14.1773	4	43.2408	0	1052.6	0	0.384207	0	-2.09407	0	-2.09407	45.3348	0	2296.52	0	2007.79	0	2011.95	4.89604	3.17328	-0.448179	0	0.874274	0
I8SI9S	4	B	12/5/94	94.994	-30.3	1945	154	16.3595	35.7126	0	32	0	1	155.1	230.216	0	0.908308	0	0.146501	0	0.898541	0	0.265656	0	2.846	0	1.421	0	2074.05	0	2342.88	0	16.3345	26.2194	30.5469	34.779	38.9185	42.968	9.75586	0	273.211	0.428767	501.507	1.59136	4	2079.22	1.05614	17.3326	4	42.3515	0	1071.89	0	-0.38855	0	-2.2298	0	-3.4	45.7515	0	2296.13	0	2032.66	0	2028.3	4.42658	2.85902	-0.368822	0	0.885257	0
I8SI9S	4	B	12/5/94	94.994	-30.3	1945	204	14.8461	35.5541	0	31	0	1	206	222.307	0	3.78994	0	0.0097679	0	1.43588	0	0.445416	0	2.954	0	1.46	0	2088.36	0	2358.67	4	14.815	26.4408	30.7965	35.0558	39.2217	43.2967	25.2095	0	262.543	0.428767	481.297	3.62139	4				9	24.7748	4	1072.49	4	-0.3837	0	-19.2231	4	-5.6	30.3748	4	2321.91	4	2055.81	0	2057.99	4.40404	2.83602	-0.234259	0	0.885397	4
I8SI9S	4	B	12/5/94	94.994	-30.3	1945	253	13.7175	35.3809	0	29	0	1	255.2	227.612	0	5.52934	0	0.00976915	0	1.63145	0	0.558795	0	3.006	0	1.515	0	2093.25	0	2325.66	0	13.6809	26.5492	30.9271	35.2082	39.3949	43.4901	25.9254	0	251.764	3.9129	473.843	4.15264	4	2099.07	0.756005	16.682	0	36.7264	0	1097.78	0	-0.449914	0	-7.19765	0	-7.1	43.8264	0	2300.62	0	2070.71	0	2049.42	3.78532	2.43267	-0.0905627	0	0.900067	0
I8SI9S	4	B	12/5/94	94.994	-30.3	1945	254	13.707	35.3835	0	30	0	1	255.6	227.35	0	5.50979	0	0.00976913	0	1.78775	0	0.554886	0	2.996	0	1.497	0	2093.45	0	2326.96	0	13.6704	26.5534	30.9315	35.2127	39.3997	43.495	26.2374	0	250.798	4.08502	468.001	4.54425	4	2100.01	0.759771	15.9433	0	35.9724	0	1097.14	0	-0.411793	0	-7.77245	0	-7.2	43.1724	0	2301.74	0	2070.76	0	2050.28	3.80139	2.44296	-0.0959692	0	0.89965	0
I8SI9S	4	B	12/5/94	94.994	-30.3	1945	305	12.6234	35.2123	0	28	0	1	307.2	230.868	0	7.65019	0	0.00977036	0	2.15925	0	0.685879	0	3.134	0	1.515	0	2097.46	0	2321.19	0	12.5817	26.6415	31.0418	35.3446	39.5524	43.6679	28.7698	0	247.536	4.5838	449.86	5.58941	4	2105.75	0.661598	14.2134	0	32.5633	0	1106.62	0	-0.372318	0	-10.375	0	-7.2	39.7633	4	2307.2	0	2084.81	0	2057.7	3.61412	2.31846	0.0551275	0	0.903614	0
I8SI9S	4	B	12/5/94	94.994	-30.3	1945	353	12.0102	35.1165	0	27	0	1	355.7	235.378	0	8.71578	0	0.00977105	0	2.52093	0	0.753348	0	3.19	0	1.551	0	2100.1	0	2310.15	0	11.9634	26.6872	31.1005	35.4159	39.6359	43.7631	27.8133	0	243.665	5.03326	447.096	5.73407	4	2103.52	0.614545	19.0828	0	36.5449	0	1118.1	0	-0.384657	0	-6.18741	0	-8.9	45.4449	0	2302.49	0	2093.13	0	2054.66	3.37899	2.16602	0.148364	0	0.909075	0
