sta	type	mon	day	yr	hh	mm	long	lat	bottomD	depth	depthW	temp	sal	xCO2_water_sst_wet_ppm	xCO2_water_equi_temp_wet_ppm	xCO2_water_sst_dry_ppm	xCO2_water_equi_temp_dry_ppm	fCO2_water_sst_100humidity_uatm	fCO2_water_corr_25_uatm	fCO2_water_corr_to_20	fCO2_water_equi_uatm	pCO2_water_sst_100humidity_uatm	pCO2_water_equi_temp	pCO2_theta_SW_corrected_to_sst	Temperature_equi	Pressure_atm	Pressure_equi	wind_direc_deg	wind_speed	ship_speed	ship_direc	Humidity	woa_sss	woa_land_marker	ncep_slp	speed_calc_knots	ETOPO2	fCO2_insitu_from_xCO2_water_equi_temp_dry_ppm	fCO2_insitu_from_xCO2_water_sst_dry_ppm	fCO2_from_pCO2_water_water_equi_temp	fCO2_from_pCO2_water_sst_100humidity_uatm	fCO2_insitu_from_fCO2_water_equi_uatm	fCO2_insitu_from_fCO2_water_sst_100humidty_uatm	fCO2_from_pCO2_water_water_equi_temp_ncep	fCO2_from_pCO2_water_sst_100humidity_uatm_ncep	fCO2_insitu_from_xCO2_water_equi_temp_dry_ppm_woa	fCO2_insitu_from_xCO2_water_sst_dry_ppm_woa	fCO2_insitu_from_xCO2_water_equi_temp_dry_ppm_ncep	fCO2_insitu_from_xCO2_water_sst_dry_ppm_ncep	fCO2_insitu_from_xCO2_water_equi_temp_dry_ppm_ncep_woa	fCO2_insitu_from_xCO2_water_sst_dry_ppm_ncep_woa	fCO2_rec	fCO2_source
74E320041213_1	C	12	13	2004	15	06	26.1397	-34.0005	5	5	NaN	21.073	35.215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.482	1012.6	NaN	NaN	NaN	11.9	114	NaN	35.207298	0.000000	1013.100000	13.102482	-97.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
74E320041213_2	C	12	13	2004	15	07	26.1437	-34.002	5	5	NaN	21.072	35.213	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.418	1012.6	NaN	NaN	NaN	12.2	115	NaN	35.207298	0.000000	1013.100000	12.830961	-97.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
74E320041213_3	C	12	13	2004	15	08	26.1476	-34.0035	5	5	NaN	21.064	35.211	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.45	1012.6	NaN	NaN	NaN	12	115	NaN	35.207298	0.000000	1013.100000	12.683475	-97.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
74E320041213_4	C	12	13	2004	15	09	26.1515	-34.0049	5	5	NaN	21.065	35.212	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.482	1012.6	NaN	NaN	NaN	11.9	114	NaN	35.207298	0.000000	1013.100000	12.830598	-97.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
74E320041213_5	C	12	13	2004	15	10	26.1554	-34.0064	5	5	NaN	21.048	35.209	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.418	1012.6	NaN	NaN	NaN	11.9	114	NaN	35.207298	0.000000	1013.100000	12.830414	-97.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
74E320041213_6	C	12	13	2004	15	11	26.1593	-34.0079	5	5	NaN	21.014	35.206	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.385	1012.6	NaN	NaN	NaN	12.1	116	NaN	35.207298	0.000000	1013.100000	13.101534	-97.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
74E320041213_7	C	12	13	2004	15	12	26.1633	-34.0094	5	5	NaN	20.95	35.204	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.32	1012.6	NaN	NaN	NaN	12.1	115	NaN	35.207298	0.000000	1013.100000	12.830039	-97.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
74E320041213_8	C	12	13	2004	15	13	26.1672	-34.0109	5	5	NaN	20.898	35.203	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.255	1012.6	NaN	NaN	NaN	12.2	114	NaN	35.207298	0.000000	1013.100000	6.761483	-99.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
74E320041213_9	C	12	13	2004	15	15	26.1713	-34.0125	5	5	NaN	20.861	35.201	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.223	1012.6	NaN	NaN	NaN	12.3	115	NaN	35.207298	0.000000	1013.100000	12.409078	-99.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
74E320041213_10	C	12	13	2004	15	16	26.1751	-34.0139	5	5	NaN	20.834	35.2	NaN	NaN	NaN	318.376	313.714	NaN	NaN	NaN	314.77	NaN	NaN	21.158	1012.6	NaN	NaN	NaN	12.3	115	NaN	35.207298	0.000000	1013.100000	13.793138	-99.000000	306.111531	NaN	NaN	313.710569	NaN	313.714000	NaN	313.710048	306.111561	NaN	306.265473	NaN	306.265503	NaN	306.111531	1.000000
