             DATA SET: ./yearssn.dat
             T (YR/CYC): -0.0016779 to 0.49832
 Column  1: FREQ is L / 298
 Column  2: EX#2 is 1./FREQ
 Column  3: FFTSUN is TFFT_AMP(SUNSPOT_INDEX,FREQ[L=1:149])
     0.00336   298.00000     5.49249
     0.00671   149.00000     7.87738
     0.01007    99.33334    19.44705
     0.01342    74.50000     1.23650
     0.01678    59.60000    11.73761
     0.02013    49.66667     8.97863
     0.02349    42.57143     3.99610
     0.02685    37.25000     5.77600
     0.03020    33.11111     3.66135
     0.03356    29.80000     5.74712
     0.03691    27.09091     3.99403
     0.04027    24.83333     3.74793
     0.04362    22.92308     2.22440
     0.04698    21.28571     5.42652
     0.05034    19.86667     1.11762
     0.05369    18.62500     2.69469
     0.05705    17.52941     2.63069
     0.06040    16.55556     3.43626
     0.06376    15.68421     2.93373
     0.06711    14.90000     3.96566
     0.07047    14.19048     3.10191
     0.07383    13.54545     3.92487
     0.07718    12.95652     8.52919
     0.08054    12.41667     6.17860
     0.08389    11.92000    11.08540
     0.08725    11.46154     7.57448
     0.09060    11.03704    28.36150
     0.09396    10.64286    20.07696
     0.09732    10.27586     9.64187
     0.10067     9.93333    15.83482
     0.10403     9.61290     8.80017
     0.10738     9.31250     3.26306
     0.11074     9.03030     1.68325
     0.11409     8.76471     4.63663
     0.11745     8.51429    10.24989
     0.12081     8.27778     4.75489
     0.12416     8.05405     5.93501
     0.12752     7.84211     4.74322
     0.13087     7.64103     1.91226
     0.13423     7.45000     3.65315
     0.13758     7.26829     3.59100
     0.14094     7.09524     1.25941
     0.14430     6.93023     1.75168
     0.14765     6.77273     1.29277
     0.15101     6.62222     1.29983
     0.15436     6.47826     1.25542
     0.15772     6.34043     1.01899
     0.16107     6.20833     0.38481
     0.16443     6.08163     2.01623
     0.16779     5.96000     2.13465
     0.17114     5.84314     3.23618
     0.17450     5.73077     3.87919
     0.17785     5.62264     0.53745
     0.18121     5.51852     5.65883
     0.18456     5.41818     1.33827
     0.18792     5.32143     3.26664
     0.19128     5.22807     1.45132
     0.19463     5.13793     2.89561
     0.19799     5.05085     2.66670
     0.20134     4.96667     0.69898
     0.20470     4.88525     2.61122
     0.20805     4.80645     2.38314
     0.21141     4.73016     2.15888
     0.21477     4.65625     1.12802
     0.21812     4.58462     1.52966
     0.22148     4.51515     1.23105
     0.22483     4.44776     0.84635
     0.22819     4.38235     2.04886
     0.23154     4.31884     1.56067
     0.23490     4.25714     1.74422
     0.23826     4.19718     0.79299
     0.24161     4.13889     1.66737
     0.24497     4.08219     0.83221
     0.24832     4.02703     0.99149
     0.25168     3.97333     1.53853
     0.25503     3.92105     1.07436
     0.25839     3.87013     1.03107
     0.26174     3.82051     0.20165
     0.26510     3.77215     1.63722
     0.26846     3.72500     0.75253
     0.27181     3.67901     1.55570
     0.27517     3.63415     1.16236
     0.27852     3.59036     0.79585
     0.28188     3.54762     1.16743
     0.28523     3.50588     0.31289
     0.28859     3.46512     1.29855
     0.29195     3.42529     0.62899
     0.29530     3.38636     0.64749
     0.29866     3.34831     0.26644
     0.30201     3.31111     0.44657
     0.30537     3.27473     1.19459
     0.30872     3.23913     0.55273
     0.31208     3.20430     1.85941
     0.31544     3.17021     1.18171
     0.31879     3.13684     0.99360
     0.32215     3.10417     1.02850
     0.32550     3.07217     0.22342
     0.32886     3.04082     0.14945
     0.33221     3.01010     0.11282
     0.33557     2.98000     0.64482
     0.33893     2.95050     0.57917
     0.34228     2.92157     1.00083
     0.34564     2.89320     0.68469
     0.34899     2.86538     0.57930
     0.35235     2.83810     0.57888
     0.35570     2.81132     1.66339
     0.35906     2.78505     0.24049
     0.36242     2.75926     0.51706
     0.36577     2.73395     0.62542
     0.36913     2.70909     0.15956
     0.37248     2.68468     0.53771
     0.37584     2.66071     0.62390
     0.37919     2.63717     0.60302
     0.38255     2.61404     0.21897
     0.38591     2.59130     0.37656
     0.38926     2.56897     0.27823
     0.39262     2.54701     0.42015
     0.39597     2.52542     0.51981
     0.39933     2.50420     0.82339
     0.40268     2.48333     1.15261
     0.40604     2.46281     0.13688
     0.40940     2.44262     0.27196
     0.41275     2.42276     0.72414
     0.41611     2.40323     1.10933
     0.41946     2.38400     0.65203
     0.42282     2.36508     0.63535
     0.42617     2.34646     0.61995
     0.42953     2.32812     1.54030
     0.43289     2.31008     0.87067
     0.43624     2.29231     0.55194
     0.43960     2.27481     0.40626
     0.44295     2.25758     1.07985
     0.44631     2.24060     0.54411
     0.44966     2.22388     0.17844
     0.45302     2.20741     0.64292
     0.45638     2.19118     0.58340
     0.45973     2.17518     0.60809
     0.46309     2.15942     0.79994
     0.46644     2.14388     1.11837
     0.46980     2.12857     0.89278
     0.47315     2.11348     0.22927
     0.47651     2.09859     1.01846
     0.47987     2.08392     0.58047
     0.48322     2.06944     0.64730
     0.48658     2.05517     0.96754
     0.48993     2.04110     0.93807
     0.49329     2.02721     0.59066
     0.49664     2.01351     0.00000
     0.50000     2.00000     0.23911
