        0.006 0.8865         0.176 0.7597         0.282 0.7151
        0.355 0.6643         0.379 0.6455         0.393 0.6246
        0.410 0.6071         0.417 0.5935         0.467 0.5648
        0.435 0.5535         0.444 0.5458         0.470 0.5326
        0.478 0.5337         0.515 0.5147         0.469 0.5250
        0.541 0.5064         0.457 0.5060         0.498 0.5023
        0.502 0.4877         0.532 0.4853         0.500 0.4761
        0.510 0.4821         0.532 0.4691         0.483 0.4778
        0.521 0.4613         0.515 0.4631         0.570 0.4546
        0.575 0.4540         0.568 0.4558         0.567 0.4482
        0.621 0.4544         0.558 0.4529         0.545 0.4401
        0.561 0.4457         0.552 0.4352         0.585 0.4382
        0.598 0.4288         0.572 0.4221         0.591 0.4332
        0.571 0.4243         0.595 0.4294         0.577 0.4295
        0.543 0.4260         0.600 0.4124         0.586 0.4102
        0.600 0.4165         0.565 0.4216         0.604 0.4015
        0.600 0.4182         0.612 0.3997         0.580 0.4077
        0.603 0.4108         0.638 0.4120         0.615 0.4050
        0.630 0.4058         0.625 0.4079         0.594 0.3883
        0.661 0.4031         0.608 0.3953         0.617 0.3978
        0.599 0.4021         0.649 0.3831         0.620 0.3969
        0.620 0.3906         0.641 0.3857         0.643 0.3842
        0.628 0.3814         0.601 0.3813         0.679 0.3874
        0.612 0.3784         0.642 0.3839         0.606 0.3722
        0.651 0.3713         0.668 0.3692         0.655 0.3867
        0.640 0.3731         0.647 0.3660         0.639 0.3741
        0.623 0.3722         0.647 0.3705         0.668 0.3676
        0.631 0.3639         0.633 0.3730         0.627 0.3693
        0.623 0.3709         0.598 0.3582         0.641 0.3720
        0.633 0.3599         0.606 0.3675         0.655 0.3712
        0.652 0.3590         0.644 0.3554         0.631 0.3564
        0.654 0.3580         0.641 0.3565         0.672 0.3583
        0.667 0.3579         0.661 0.3675         0.668 0.3490
        0.661 0.3606         0.609 0.3506         0.635 0.3557
        0.680 0.3590         0.675 0.3517         0.638 0.3474
        0.677 0.3473         0.670 0.3519         0.676 0.3430
        0.647 0.3525         0.671 0.3456         0.661 0.3431
        0.641 0.3458         0.672 0.3478         0.692 0.3498
        0.658 0.3463         0.671 0.3535         0.685 0.3474
        0.668 0.3496         0.646 0.3540         0.635 0.3342
        0.659 0.3475         0.667 0.3413         0.688 0.3377
        0.728 0.3420         0.713 0.3488         0.662 0.3380
        0.627 0.3501         0.634 0.3356         0.683 0.3377
        0.666 0.3374         0.686 0.3475         0.689 0.3291
        0.672 0.3336         0.658 0.3365         0.709 0.3292
        0.700 0.3295         0.687 0.3327         0.663 0.3257
        0.643 0.3309         0.698 0.3353         0.679 0.3402
        0.676 0.3295         0.656 0.3279         0.671 0.3359
        0.656 0.3395         0.665 0.3407         0.692 0.3285
        0.694 0.3303         0.676 0.3335         0.698 0.3306
